"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Backward History","Alt+Left","In Windows"
"Text Editing","Line End","End","Editing Text"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Navigate","Open Declaration","F3","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Context Information","Alt+Shift+?","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"MoreUnit","Jump to Test/Source","Ctrl+J","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X, G","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Spy","Layout Spy","Ctrl+Alt+Shift+F9","In Dialogs and Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows"
"Window","Activate Editor","F12","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Inspect","Ctrl+Shift+I","Chromium Debug"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"File","Print","Ctrl+P","In Windows"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor"
"Navigate","Show In...","Alt+Shift+W","In Windows"
